"","Adult Content","multimedia hosting","Networking/ISP","ad content","microsoft/google/bing","moview review/ticket booking","music hosting","eCommerce","online cloud","Social networking","Travel and Resturants"
"Adult Content",1,0.968,0.709,0.972,0.886,-0.026,0.394,0.127,0.701,0.716,-0.025
"multimedia hosting",0.968,1,0.793,0.982,0.957,-0.025,0.435,0.182,0.579,0.792,0.139
"Networking/ISP",0.709,0.793,1,0.766,0.895,-0.037,0.685,0.277,0.519,0.87,0.455
"ad content",0.972,0.982,0.766,1,0.917,-0.014,0.528,0.157,0.581,0.81,-0.021
"microsoft/google/bing",0.886,0.957,0.895,0.917,1,-0.032,0.53,0.246,0.548,0.831,0.351
"moview review/ticket booking",-0.026,-0.025,-0.037,-0.014,-0.032,1,-0.032,-0.031,-0.028,0.223,-0.019
"music hosting",0.394,0.435,0.685,0.528,0.53,-0.032,1,0.17,0.231,0.724,-0.032
"eCommerce",0.127,0.182,0.277,0.157,0.246,-0.031,0.17,1,0.056,0.229,0.244
"online cloud",0.701,0.579,0.519,0.581,0.548,-0.028,0.231,0.056,1,0.404,-0.027
"Social networking",0.716,0.792,0.87,0.81,0.831,0.223,0.724,0.229,0.404,1,0.223
"Travel and Resturants",-0.025,0.139,0.455,-0.021,0.351,-0.019,-0.032,0.244,-0.027,0.223,1
